,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
0,1972,1,,110011,2,,,,,,,,留辺志部川合流前,ルベシベガワゴウリユウマエ,,AA,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0010,110010.0,81007.0,,43.83777778,142.78472222, 43:50:16,142:47:05,
1,1972,1,,110021,2,,,,,,,,,アサヒカワシジヨウスイシユスイグチ,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0020,110020.0,81007.0,,43.81805556,142.42555556, 43:49:05,142:25:32,
2,1972,1,,110031,2,,,,,,,,永山橋,ナガヤマバシ,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0021,110030.0,81007.0,,43.81888889,142.42638889, 43:49:08,142:25:35,
3,1972,1,,110041,2,,,,,,,,納内橋,オサムナイバシ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0030,111790.0,81007.0,,43.71583333,142.13472222, 43:42:57,142:08:05,
4,1972,1,,110051,2,,,,,,,,,イノウ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0031,,,,43.78638889,142.29583333, 43:47:11,142:17:45,
5,1972,1,,110081,2,,,,,,,,奈井江大橋,ナイエオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0041,110090.0,81007.0,,43.42944444,141.84416667, 43:25:46,141:50:39,
6,1972,1,,110091,2,,,,,,,,砂川橋,スナガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0042,113460.0,81007.0,,43.50416667,141.89666667, 43:30:15,141:53:48,
7,1972,1,,110101,2,,,,,,,,石狩川橋,イシカリガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0043,110100.0,81007.0,,43.56055556,141.87833333, 43:33:38,141:52:42,
8,1972,1,,110111,2,,,,,,,,石狩大橋,イシカリオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0050,110060.0,81007.0,,43.12361111,141.54305556, 43:07:25,141:32:35,
9,1972,1,,110121,2,,,,,,,,新石狩大橋,シンイシカリオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0060,110080.0,81007.0,,43.13638889,141.51222222, 43:08:11,141:30:44,
