,西暦年度,絶対番号_x,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号,m_カドミウム,n_カドミウム,C_カドミウム_最大値,カドミウム_最大値,C_カドミウム_平均値,カドミウム_平均値,m_全シアン,n_全シアン,C_全シアン_最大値,全シアン_最大値,C_全シアン_平均値,全シアン_平均値,m_鉛,n_鉛,C_鉛_最大値,鉛_最大値,C_鉛_平均値,鉛_平均値,m_六価クロム,n_六価クロム,C_六価クロム_最大値,六価クロム_最大値,C_六価クロム_平均値,六価クロム_平均値,m_砒素,n_砒素,C_砒素_最大値,砒素_最大値,C_砒素_平均値,砒素_平均値,m_総水銀,n_総水銀,C_総水銀_最大値,総水銀_最大値,C_総水銀_平均値,総水銀_平均値,総水銀_定量限界値未満の検体数,m_アルキル水銀,n_アルキル水銀,C_アルキル水銀_最大値,アルキル水銀_最大値,C_アルキル水銀_平均値,アルキル水銀_平均値,m_PCB,n_PCB,C_PCB_最大値,PCB_最大値,C_PCB_平均値,PCB_平均値,m_有機リン,n_有機リン,C_有機リン_最大値,有機リン_最大値,C_有機リン_平均値,有機リン_平均値,m_ジクロロメタン,n_ジクロロメタン,C_ジクロロメタン_最大値,ジクロロメタン_最大値,C_ジクロロメタン_平均値,ジクロロメタン_平均値,m_四塩化炭素,n_四塩化炭素,C_四塩化炭素_最大値,四塩化炭素_最大値,C_四塩化炭素_平均値,四塩化炭素_平均値,m_1、2-ジクロロエタン,n_1、2-ジクロロエタン,C_1、2-ジクロロエタン_最大値,1、2-ジクロロエタン_最大値,C_1、2-ジクロロエタン_平均値,1、2-ジクロロエタン_平均値,m_1、1-ジクロロエチレン,n_1、1-ジクロロエチレン,C_1、1-ジクロロエチレン_最大値,1、1-ジクロロエチレン_最大値,C_1、1-ジクロロエチレン_平均値,1、1-ジクロロエチレン_平均値,m_シス-1、2-ジクロロエチレン,n_シス-1、2-ジクロロエチレン,C_シス-1、2-ジクロロエチレン_最大値,シス-1、2-ジクロロエチレン_最大値,C_シス-1、2-ジクロロエチレン_平均値,シス-1、2-ジクロロエチレン_平均値,m_1、1、1-トリクロロエタン,n_1、1、1-トリクロロエタン,C_1、1、1-トリクロロエタン_最大値,1、1、1-トリクロロエタン_最大値,C_1、1、1-トリクロロエタン_平均値,1、1、1-トリクロロエタン_平均値,m_1、1、2-トリクロロエタン,n_1、1、2-トリクロロエタン,C_1、1、2-トリクロロエタン_最大値,1、1、2-トリクロロエタン_最大値,C_1、1、2-トリクロロエタン_平均値,1、1、2-トリクロロエタン_平均値,m_トリクロロエチレン,n_トリクロロエチレン,C_トリクロロエチレン_最大値,トリクロロエチレン_最大値,C_トリクロロエチレン_平均値,トリクロロエチレン_平均値,m_テトラクロロエチレン,n_テトラクロロエチレン,C_テトラクロロエチレン_最大値,テトラクロロエチレン_最大値,C_テトラクロロエチレン_平均値,テトラクロロエチレン_平均値,m_1、3-ジクロロプロペン,n_1、3-ジクロロプロペン,C_1、3-ジクロロプロペン_最大値,1、3-ジクロロプロペン_最大値,C_1、3-ジクロロプロペン_平均値,1、3-ジクロロプロペン_平均値,m_チウラム,n_チウラム,C_チウラム_最大値,チウラム_最大値,C_チウラム_平均値,チウラム_平均値,m_シマジン,n_シマジン,C_シマジン_最大値,シマジン_最大値,C_シマジン_平均値,シマジン_平均値,m_チオベンカルブ,n_チオベンカルブ,C_チオベンカルブ_最大値,チオベンカルブ_最大値,C_チオベンカルブ_平均値,チオベンカルブ_平均値,m_ベンゼン,n_ベンゼン,C_ベンゼン_最大値,ベンゼン_最大値,C_ベンゼン_平均値,ベンゼン_平均値,m_セレン,n_セレン,C_セレン_最大値,セレン_最大値,C_セレン_平均値,セレン_平均値,m_硝酸性窒素及び亜硝酸性窒素,ｎ_硝酸性窒素及び亜硝酸性窒素,C_硝酸性窒素及び亜硝酸性窒素_最大値,硝酸性窒素及び亜硝酸性窒素_最大値,C_硝酸性窒素及び亜硝酸性窒素_平均値,硝酸性窒素及び亜硝酸性窒素_平均値,m_亜硝酸性窒素,n_亜硝酸性窒素,C_亜硝酸性窒素_最大値,亜硝酸性窒素_最大値,C_亜硝酸性窒素_平均値,亜硝酸性窒素_平均値,m_ふっ素,n_ふっ素,C_ふっ素_最大値,ふっ素_最大値,C_ふっ素_平均値,ふっ素_平均値,m_ほう素,n_ほう素,C_ほう素_最大値,ほう素_最大値,C_ほう素_平均値,ほう素_平均値,ＲＬＳ識別コード,水系コード,絶対番号_y,地点新設等コード,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms
0,1980,110014,1,1,1,0.0,#,6.9,#,7.6,0.0,6.0,#,9.6,#,11.0,0.0,6.0,#,10.0,#,0.5,#,1.1,1.0,6.0,#,0.5,#,1.1,1.0,6.0,#,0.9,#,0.9,#,1.0,,,,,,,,,,,,,,,,,,,<,1,#,28.0,1.0,6.0,#,11.0,#,43.0,#,4600.0,5.0,6.0,#,1900.0,,,,,,,,,0100101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110014,2,,石狩川上流（１）,イシカリガワ ジヨウリユウ (1),,留辺志部川合流前（日東つり橋）,ルベシベガワゴウリユウマエ,,AA,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110010.0,81007.0,,43.83111111,142.79888889, 43:49:52,142:47:56
1,1980,110024,1,2,1,0.0,#,7.0,#,8.2,0.0,24.0,#,9.8,#,15.0,0.0,24.0,#,12.0,<,0.5,#,1.8,0.0,24.0,#,0.6,#,1.6,0.0,12.0,#,1.0,#,1.0,#,1.1,,,,,,,,,,,,,,,,,,,#,1,#,24.0,0.0,24.0,#,7.0,#,170.0,#,2400.0,4.0,12.0,#,1000.0,,,,,,,,,0100201,0.0,2.0,<,0.005,<,0.005,0.0,2.0,N,0.1,N,0.1,0.0,2.0,<,0.05,<,0.05,0.0,2.0,<,0.02,<,0.02,0.0,2.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,,0.0,2.0,N,0.0005,N,0.0005,0.0,4.0,N,0.0005,N,0.0005,0.0,2.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110024,2,,石狩川上流（２）,イシカリガワ ジヨウリユウ (2),,東鷹栖浄水取水口,ヒガシタカスジヨウスイ シユスイクチ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110020.0,81007.0,,43.80527778,142.40222222, 43:48:19,142:24:08
2,1980,110034,1,2,51,0.0,#,6.9,#,8.2,0.0,12.0,#,9.7,#,14.0,0.0,12.0,#,12.0,<,0.5,#,1.7,0.0,12.0,<,0.5,#,1.7,0.0,12.0,#,0.9,#,0.9,#,1.1,,,,,,,,,,,,,,,,,,,#,3,#,39.0,1.0,12.0,#,10.0,#,23.0,#,17000.0,5.0,12.0,#,2600.0,,,,,,,,,0100251,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110034,2,,石狩川上流（２）,イシカリガワ ジヨウリユウ (2),,永山橋,ナガヤマバシ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110030.0,81007.0,,43.81750000,142.42666667, 43:49:03,142:25:36
3,1980,110044,1,4,1,0.0,#,6.8,#,7.7,0.0,48.0,#,6.9,#,13.0,0.0,48.0,#,10.0,<,0.5,#,14.0,1.0,48.0,#,0.7,#,4.0,1.0,12.0,#,1.5,#,1.3,#,1.5,,,,,,,,,,,,,,,,,,,#,10,#,230.0,32.0,48.0,#,50.0,#,350.0,#,170000.0,27.0,48.0,#,17000.0,,,,,,,,,0100401,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,12.0,<,0.05,<,0.05,0.0,12.0,<,0.02,<,0.02,0.0,12.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110044,2,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩大橋,イシカリオオハシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110060.0,81007.0,,43.12388889,141.54250000, 43:07:26,141:32:33
4,1980,110064,1,4,51,0.0,#,7.0,#,7.4,0.0,12.0,#,7.1,#,12.0,0.0,12.0,#,10.0,#,0.8,#,1.6,0.0,12.0,#,0.8,#,1.6,0.0,12.0,#,1.1,#,1.1,#,1.2,,,,,,,,,,,,,,,,,,,#,6,#,62.0,5.0,12.0,#,26.0,#,350.0,#,79000.0,8.0,12.0,#,15000.0,,,,,,,,,0100451,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110064,2,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩河口橋,イシカリカコウバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110070.0,81007.0,,43.22888889,141.35194444, 43:13:44,141:21:07
5,1980,110074,1,4,52,0.0,#,6.8,#,7.6,0.0,30.0,#,7.2,#,11.0,0.0,30.0,#,8.6,#,0.8,#,3.3,1.0,30.0,#,1.4,#,2.4,0.0,6.0,#,1.8,#,1.7,#,2.2,,,,,,,,,,,,,,,,,,,#,12,#,110.0,16.0,30.0,#,34.0,#,2300.0,#,110000.0,22.0,30.0,#,17000.0,,,,,,,,,0100452,0.0,2.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,2.0,<,0.05,<,0.05,0.0,2.0,<,0.02,<,0.02,0.0,2.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,,,,,,,,0.0,2.0,N,0.0005,N,0.0005,0.0,2.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110074,2,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,新石狩大橋,シンイシカリオオハシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110080.0,81007.0,,43.13666667,141.51138889, 43:08:12,141:30:41
6,1980,110084,1,4,53,0.0,#,7.1,#,7.6,0.0,12.0,#,8,#,13.0,0.0,12.0,#,11.0,#,0.8,#,2.7,0.0,12.0,#,0.8,#,2.7,0.0,12.0,#,1.4,#,1.2,#,1.3,,,,,,,,,,,,,,,,,,,#,9,#,200.0,5.0,12.0,#,41.0,#,1100.0,#,35000.0,6.0,12.0,#,8300.0,,,,,,,,,0100453,0.0,3.0,<,0.005,<,0.005,0.0,5.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110084,2,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,奈井江大橋,ナイエオオハシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110090.0,81007.0,,43.42916667,141.84472222, 43:25:45,141:50:41
7,1980,110094,1,4,54,0.0,#,6.8,#,7.6,0.0,6.0,#,7.2,#,12.0,0.0,6.0,#,9.7,#,1.1,#,2.2,0.0,6.0,#,1.1,#,2.2,0.0,6.0,#,1.7,#,1.8,#,2.2,,,,,,,,,,,,,,,,,,,#,10,#,64.0,2.0,6.0,#,27.0,#,930.0,#,15000.0,1.0,6.0,#,4100.0,,,,,,,,,0100454,0.0,2.0,<,0.005,<,0.005,,,,,,,0.0,2.0,<,0.05,<,0.05,,,,,,,0.0,2.0,<,0.02,<,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110094,2,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩川橋,イシカリガワバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110100.0,81007.0,,43.56055556,141.88500000, 43:33:38,141:53:06
8,1980,110134,1,6,1,0.0,#,6.7,#,8.0,0.0,12.0,#,7.9,#,13.0,0.0,12.0,#,10.0,#,0.5,#,1.9,0.0,12.0,#,0.5,#,1.4,0.0,6.0,#,0.8,#,0.7,#,0.9,,,,,,,,,,,,,,,,,,,<,1,#,98.0,2.0,12.0,#,20.0,#,110.0,#,1500.0,1.0,10.0,#,630.0,,,,,,,,,0100601,0.0,2.0,<,0.005,<,0.005,,,,,,,0.0,2.0,<,0.05,<,0.05,,,,,,,0.0,2.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,,0.0,2.0,N,0.0005,N,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110134,2,,,トコロガワ ジヨウリユウ,,,キタガミ ジヨスイ シユスイグチ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110150.0,,,43.75861111,143.86250000, 43:45:31,143:51:45
9,1980,110144,1,6,51,0.0,#,6.9,#,8.9,1.0,12.0,#,10,#,15.0,0.0,12.0,#,12.0,<,0.5,#,1.9,0.0,12.0,<,0.5,#,1.9,0.0,12.0,#,0.9,#,0.9,#,1.0,,,,,,,,,,,,,,,,,,,#,3,#,40.0,2.0,12.0,#,12.0,#,330.0,#,170000.0,10.0,12.0,#,23000.0,,,,,,,,,0100651,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,12.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,,0.0,3.0,N,0.0005,N,0.0005,,,,,,,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110144,2,,,トコロガワ ジヨウリユウ,,,コンピラバシ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110160.0,,,43.75388889,143.83944444, 43:45:14,143:50:22
