西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,緯度_Ｎ(度),緯度_Ｎ(分),緯度_Ｎ(秒),経度_Ｅ（度）,経度_Ｅ（分）,経度_Ｅ（秒）,水質年鑑コード,推定絶対番号,推定水系コード,備考
1974,1,,0210011,2,,,,,,,,,メナバシ,,B,2,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,21,20,141,16,45,02R0210,,,
1974,1,,0210021,2,,,,,,,,,アカサカバシ,,B,2,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,17,50,141,13,24,02R0220,0211300,,
1974,1,,0210031,2,,,,,,,,下北橋,シモキタバシ,,B,2,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,17,09,141,11,15,02R0230,0211290,82529,
1974,1,,0210051,2,,,,,,,,,ナカアラカワイチゴウバシ,,A,1,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,17,31,141,09,27,02R0450,0211440,,
1974,1,,0210061,2,,,,,,,,中荒川橋,ナカアラカワバシ,,B,1,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,16,54,141,09,54,02R0460,0211460,,
1974,1,,0210071,2,,,,,,,,畑,ハタ,,A,1,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,17,45,140,57,33,02R0510,0211330,82529,
1974,1,,0210081,2,,,,,,,,大滝,オオタキ,,A,1,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,16,38,140,58,47,02R0520,0211360,,
1974,1,,0210091,2,,,,,,,,銀杏木橋,イチヨウオオハシ,,A,2,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,14,24,140,59,30,02R0530,0211340,,
1974,1,,0210101,2,,,,,,,,川内橋,カワウチバシ,,A,2,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11,51,140,59,34,02R0540,0211350,82529,
1974,1,,0210121,2,,,,,,,,清水目橋,シミズメバシ,,A,1,,1974,04,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,50,10,141,08,42,02R1110,0211250,82528,
