西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,緯度_Ｎ(度),緯度_Ｎ(分),緯度_Ｎ(秒),経度_Ｅ（度）,経度_Ｅ（分）,経度_Ｅ（秒）,水質年鑑コード,推定絶対番号,推定水系コード,備考
1981,1,81007,0110010,2,01,001,01,1,石狩川上流（１）,イシカリガワ ジヨウリユウ (1),,留辺志部川合流前（日東つり橋）,ルベシベガワゴウリユウマエ,,AA,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,49,52,142,47,56,01R001,,,
1981,1,81007,0110020,2,01,002,01,1,石狩川上流（２）,イシカリガワ ジヨウリユウ (2),,東鷹栖浄水取水口,ヒガシタカスジヨウスイ シユスイクチ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,48,19,142,24,08,01R002,,,
1981,1,81007,0110030,2,01,002,51,2,石狩川上流（２）,イシカリガワ ジヨウリユウ (2),,永山橋,ナガヤマバシ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,49,03,142,25,36,,,,
1981,1,81007,0110060,2,01,004,01,1,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩大橋,イシカリオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,07,26,141,32,33,01R005,,,
1981,1,81007,0110070,2,01,004,51,2,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩河口橋,イシカリカコウバシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13,44,141,21,07,,,,
1981,1,81007,0110080,2,01,004,52,2,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,新石狩大橋,シンイシカリオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,08,12,141,30,41,,,,
1981,1,81007,0110090,2,01,004,53,2,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,奈井江大橋,ナイエオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,25,45,141,50,41,,,,
1981,1,81007,0110100,2,01,004,54,2,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩川橋,イシカリガワバシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,33,38,141,53,06,,,,
1981,1,81007,0110110,2,01,004,55,2,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,岩見沢大橋,イワミザワオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1,81007,0110130,2,01,005,01,1,石狩川上流（３）,イシカリガワ ジヨウリユウ (3),,旭川市上水東神楽浄水場取水口,ヒガシカグラジヨウスイシユスイクチ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R582,,,
1981,1,81007,0110140,2,01,005,51,2,石狩川上流（３）,イシカリガワ ジヨウリユウ (3),,東神楽橋,ヒガシカグラバシ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1,,0110150,2,01,006,01,1,常呂川上流,トコロガワ ジヨウリユウ,,北見市上水北上浄水場取水口,キタガミ ジヨウスイ シユスイクチ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,45,31,143,51,45,01R121,,,
1981,1,81004,0110160,2,01,006,51,2,常呂川上流,トコロガワ ジヨウリユウ,,金比羅橋（上常呂）,コンピラバシ ( カミトコロ ),,A,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,45,14,143,50,22,,,,
1981,1,81004,0110170,2,01,007,01,1,常呂川下流,トコロガワ カリユウ,,忠志橋,チユウシバシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,55,16,143,57,56,01R126,,,
1981,1,81004,0110180,2,01,007,51,2,常呂川下流,トコロガワ カリユウ,,上川沿水位観測所（上川沿）,カミカワゾエ スイイカンソクシヨ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,03,08,144,01,58,,,,
1981,1,81004,0110190,2,01,007,52,2,常呂川下流,トコロガワ カリユウ,,若松橋（北見）,ワカマツバシ ( キタミ ),,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,47,58,143,54,40,,,,
1981,1,,0110200,2,01,007,53,2,常呂川下流,トコロガワ カリユウ,,第2観月橋,ダイ 2 カンゲツバシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,47,27,143,54,10,,,,
1981,1,,0110210,2,01,007,54,2,常呂川下流,トコロガワ カリユウ,,見晴橋,ミハラシバシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,48,25,143,54,50,,,,
1981,1,81013,0110220,2,01,008,01,1,十勝川上流,トカチガワ ジヨウリユウ,,上川橋,カミカワバシ,,AA,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,02,06,142,56,09,01R250,,,
1981,1,81013,0110230,2,01,008,51,2,十勝川上流,トカチガワ ジヨウリユウ,,新清橋,シンセイバシ,,AA,1,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,05,47,142,55,02,,,,
1981,1,81013,0110240,2,01,009,01,1,十勝川中流,トカチガワ チユウリユウ,,佐幌川合流前,サホロガワゴウリユウマエ,,A,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,59,04,142,56,53,01R2501,,,
1981,1,81013,0110250,2,01,010,01,1,十勝川下流,トカチガワ カリユウ,,茂岩橋（茂岩）,モイワバシ ( モイワ ),,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,48,25,143,30,38,01R2591,,,
1981,1,81013,0110260,2,01,010,02,1,十勝川下流,トカチガワ カリユウ,,千代田堰堤,チヨダエンテイ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,56,26,143,20,23,01R258,,,
1981,1,81013,0110270,2,01,010,03,1,十勝川下流,トカチガワ カリユウ,,十勝大橋（帯広）,トカチオオハシ ( オビヒロ ),,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,56,07,143,12,08,01R252,,,
1981,1,81013,0110280,2,01,010,51,2,十勝川下流,トカチガワ カリユウ,,祥栄橋（芽室太）,シヨウエイバシ ( メムロブト ),,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,55,40,143,02,51,,,,
1981,1,81013,0110290,2,01,010,52,2,十勝川下流,トカチガワ カリユウ,,十勝橋,トカチバシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,57,32,142,57,42,,,,
1981,1,81005,0110310,2,01,011,01,1,網走川上流,アバシリガワ ジヨウリユウ,,大正橋,タイシヨウバシ,,A,1,1,1971,05,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,49,31,144,05,28,01R132,,,
1981,1,81005,0110320,2,01,012,01,1,網走川中流,アバシリガワ チユウリユウ,,治水橋（本郷）,チスイバシ ( ホンゴウ ),,B,2,1,1971,05,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,54,35,144,08,21,01R133,,,
