西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,緯度_Ｎ(度),緯度_Ｎ(分),緯度_Ｎ(秒),経度_Ｅ（度）,経度_Ｅ（分）,経度_Ｅ（秒）,水質年鑑コード,推定絶対番号,推定水系コード,備考
1975,1,,0110011,2,,,,,,,,留辺志部川合流前,ルベシベガワゴウリユウマエ,,AA,1,,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,50,16,142,47,05,01R0010,0110010,81007,
1975,1,,0110021,2,,,,,,,,,アサヒカワシジヨウスイシユスイグチ,,A,1,,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,49,05,142,25,32,01R0020,0110020,81007,
1975,1,,0110031,2,,,,,,,,永山橋,ナガヤマバシ,,A,1,,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,49,08,142,25,35,01R0021,0110030,81007,
1975,1,,0110041,2,,,,,,,,納内橋,オサムナイバシ,,B,2,,1974,05,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,42,57,142,08,05,01R0030,0111790,81007,
1975,1,,0110051,2,,,,,,,,,イノウ,,B,2,,1974,05,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,47,11,142,17,45,01R0031,,,
1975,1,,0110061,2,,,,,,,,神納橋,ジンノウバシ,,B,2,,1974,05,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,49,142,10,44,01R0032,0111800,,
1975,1,,0110081,2,,,,,,,,奈井江大橋,ナイエオオハシ,,B,2,,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,25,46,141,50,39,01R0041,0110090,81007,
1975,1,,0110091,2,,,,,,,,砂川橋,スナガワバシ,,B,2,,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,30,15,141,53,48,01R0042,0113460,81007,
1975,1,,0110101,2,,,,,,,,石狩川橋,イシカリガワバシ,,B,2,,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,33,38,141,52,42,01R0043,0110100,81007,
1975,1,,0110111,2,,,,,,,,石狩大橋,イシカリオオハシ,,B,2,,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,07,25,141,32,35,01R0050,0110060,81007,
