,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50731,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,15.0,15.4,,28.5,1.2,1989,410,910.0,1989-04-10 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,13.0,,8.1,,7900.0,,3.4,0.17,5.0,1
50732,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,13.7,,,,1989,410,910.0,1989-04-10 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.6,,2.5,,,,1.3,0.063,27.5,3
50734,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,2.0,,,,15.8,16.0,,26.0,2.3,1989,508,905.0,1989-05-08 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.5,,4.9,,1700.0,,2.5,0.12,5.0,1
50735,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,15.1,,,,1989,508,905.0,1989-05-08 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.2,,2.3,,,,0.58,0.071,25.0,3
50737,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,2.0,,,,21.7,19.4,,26.1,1.5,1989,605,850.0,1989-06-05 08:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.1,,4.7,,22.0,,1.5,0.095,5.0,1
50738,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,15.3,,,,1989,605,850.0,1989-06-05 08:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,1.5,,3.3,,,,1.0,0.16,25.1,3
50740,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,10.0,,,,16.3,19.7,,25.5,1.1,1989,703,917.0,1989-07-03 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4,,4.8,,13000.0,,2.9,0.16,5.0,1
50741,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,17.2,,,,1989,703,917.0,1989-07-03 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.8,,1.6,,,,0.67,0.075,24.5,3
50743,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,2.0,,,,27.4,26.8,,25.8,1.0,1989,811,910.0,1989-08-11 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,12.0,,7.3,,7900.0,,2.4,0.18,5.0,1
50744,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,22.2,,,,1989,811,910.0,1989-08-11 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.7,,2.6,,,,1.0,0.1,24.8,3
50746,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,23.9,25.3,,26.5,3.6,1989,905,917.0,1989-09-05 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.7,,3.5,,490.0,,1.3,0.087,5.0,1
50747,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,19.0,,,,1989,905,917.0,1989-09-05 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4.1,,1.8,,,,1.0,0.08199999999999999,25.5,3
50749,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,1.0,,,,19.7,20.4,,27.2,4.3,1989,1005,900.0,1989-10-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.4,,3.4,,3300.0,,1.3,0.099,5.0,1
50750,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,17.8,,,,1989,1005,900.0,1989-10-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.4,,1.6,,,,0.34,0.053,26.2,3
50752,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,17.3,16.9,,26.7,2.1,1989,1106,911.0,1989-11-06 09:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,4.0,,7000.0,,2.0,0.14,5.0,1
50753,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,18.2,,,,1989,1106,911.0,1989-11-06 09:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.6,,2.1,,,,0.66,0.07400000000000001,25.7,3
50756,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,17.2,,,,1989,1204,905.0,1989-12-04 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.7,,1.8,,,,0.62,0.054000000000000006,25.8,3
50755,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,16.9,14.5,,26.8,2.9,1989,1204,905.0,1989-12-04 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.4,,3.3,,49.0,,1.8,0.1,5.0,1
50759,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,13.4,,,,1990,108,900.0,1990-01-08 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.3,,2.2,,,,0.92,0.062,26.1,3
50758,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,1.0,,,,7.1,11.2,,27.1,5.7,1990,108,900.0,1990-01-08 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.7,,2.5,,7.0,,1.3,0.073,5.0,1
50761,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,10.0,,,,3.9,8.0,,27.0,4.2,1990,205,920.0,1990-02-05 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.1,,3.1,,7900.0,,3.9,0.12,5.0,1
50762,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,9.5,,,,1990,205,920.0,1990-02-05 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.3,,2.3,,,,2.6,0.059000000000000004,26.0,3
50764,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,9.4,10.3,,27.8,2.7,1990,305,910.0,1990-03-05 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.8,,3.5,,4900.0,,1.8,0.081,5.0,1
50765,1460401,浮島沖,ウキシマオキ,,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,14.0,,,,1990,305,910.0,1990-03-05 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,,1.6,,,,0.63,0.037000000000000005,26.8,3
48205,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,2.0,,,,15.5,14.0,,26.4,2.9,1990,410,925.0,1990-04-10 09:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.6,,4.0,,27.0,,1.0,0.057,5.0,1
48206,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,13.6,,,,1990,410,925.0,1990-04-10 09:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.2,,2.6,,,,0.61,0.077,25.4,3
48208,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,18.5,17.2,,25.5,2.5,1990,508,905.0,1990-05-08 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.8,,3.7,,1000.0,,2.9,0.16,5.0,1
48209,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,15.8,,,,1990,508,905.0,1990-05-08 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.0,,1.6,,,,0.85,0.073,24.5,3
48211,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,10.0,,,,18.9,20.4,,26.1,2.2,1990,605,935.0,1990-06-05 09:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.7,,4.7,,22.0,,1.5,0.08,5.0,1
48212,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,16.0,,,,1990,605,935.0,1990-06-05 09:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.1,,1.5,,,,0.48,0.059000000000000004,25.1,3
48214,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,23.3,22.8,,26.5,2.0,1990,703,850.0,1990-07-03 08:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,10.0,,6.5,,33.0,,2.4,0.16,5.0,1
48215,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,17.2,,,,1990,703,850.0,1990-07-03 08:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.2,,1.8,,,,0.6,0.06,25.5,3
48217,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,2.0,,,,29.7,27.6,,26.0,1.8,1990,807,955.0,1990-08-07 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.7,,6.0,,49.0,,1.9,0.15,5.0,1
48218,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,20.1,,,,1990,807,955.0,1990-08-07 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,3.1,,1.9,,,,0.5,0.075,25.0,3
48220,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,2.0,,,,28.5,26.9,,25.2,4.5,1990,904,900.0,1990-09-04 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,5.9,,3.6,,13.0,,1.1,0.085,5.0,1
48221,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,24.2,,,,1990,904,900.0,1990-09-04 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.5,,3.3,,,,0.59,0.2,24.2,3
48224,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,0.0,,,,,21.5,,,,1990,1002,917.0,1990-10-02 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.8,,2.0,,,,0.49,0.065,25.0,3
48223,1460401,浮島沖,ウキシマオキ,Ukishimaoki,35.50444444,139.80833333, 35:30:16,139:48:30,4.0,,,,22.0,21.5,,26.0,1.2,1990,1002,917.0,1990-10-02 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.2,,3.5,,33000.0,,2.7,0.14,5.0,1
